Faculty ID	Full Name	Email	Institution ID	Institution Name	Department	Specialization	Designation	Status
F20250201	Dr. Rajesh Kumar	rajesh.kumar@gecbilaspur.edu	INST-1765224277144	Government Engineering College Bilaspur	Computer Science	Algorithms, Data Mining, Machine Learning	Professor	active
F20250202	Prof. Anita Sharma	anita.sharma@gecbilaspur.edu	INST-1765224277144	Government Engineering College Bilaspur	Electronics & Communication	VLSI Design, Digital Electronics	Assistant Professor	active
F20250203	Dr. Suresh Verma	suresh.verma@gecbilaspur.edu	INST-1765224277144	Government Engineering College Bilaspur	Mechanical Engineering	Thermodynamics, Fluid Mechanics	Associate Professor	active
F20250204	Prof. Meera Patel	meera.patel@gecbilaspur.edu	INST-1765224277144	Government Engineering College Bilaspur	Civil Engineering	Structural Analysis, Concrete Technology	Associate Professor	active
F20250205	Dr. Anil Gupta	anil.gupta@gecbilaspur.edu	INST-1765224277144	Government Engineering College Bilaspur	Electrical Engineering	Power Systems, Control Systems	Professor	active
F20250101	Dr. Ayesha Kapoor	ayesha.kapoor@purnima.edu	INST-1765224405904	Purnima Institute	Information Technology	Data Structures, Web Technologies	Associate Professor	active
F20250301	Dr. Priya Mehta	priya.mehta@purnima.edu	INST-1765224405904	Purnima Institute	Computer Applications	Web Development, Cloud Computing	Professor	active
F20250302	Prof. Amit Singh	amit.singh@purnima.edu	INST-1765224405904	Purnima Institute	Data Science	Machine Learning, Neural Networks, Deep Learning	Associate Professor	active
F20250303	Dr. Kavita Joshi	kavita.joshi@purnima.edu	INST-1765224405904	Purnima Institute	Information Technology	Database Systems, Python Programming	Assistant Professor	active
F20250304	Dr. Vikram Rao	vikram.rao@purnima.edu	INST-1765224405904	Purnima Institute	Artificial Intelligence	AI Algorithms, NLP, Computer Vision	Professor	active
F20250305	Prof. Sneha Reddy	sneha.reddy@purnima.edu	INST-1765224405904	Purnima Institute	Cyber Security	Network Security, Ethical Hacking	Associate Professor	active
